date,title,summary,link
2024-07-11,Showcasing the early women in genetics at Newnham College,"Medical Genetics conference 2024 (ADMG24) was hosted at Newnham College on 1st July.",
2024-07-11,New projects registered with Genomics England,"Multiple new research projects registered covering Lynch Syndrome cancer and rheumatoid arthritis.",
